Render耗时: 4.638397086s
Render耗时: 47.158115409s
Render耗时: 4.786273739s
Render耗时: 4.795385516s
Render耗时: 4.760203362s
Render耗时: 6.275638199s
Render耗时: 4.97711131s
Render耗时: 4.76952144s
Render耗时: 1130.402005303s
Render耗时: 4.518676417s
Render耗时: 4.639223872s
Render耗时: 4.728143198s
Render耗时: 5.14242384s
Render耗时: 5.268574865s
Render耗时: 31.863448095s
Render耗时: 31.186476364s
Render耗时: 30.693128777s
Render耗时: 31.420265141s
Render耗时: 30.850841728s
Render耗时: 29.848149961s
Render耗时: 31.06126987s
Render耗时: 30.393009479s
Render耗时: 29.992484645s
Render耗时: 11.092172607s
Render耗时: 9.578713493s
Render耗时: 9.314562484s
Render耗时: 447.75340797s
Render耗时: 417.369234999s
Render耗时: 8.903412404s
Render耗时: 9.016028605s
Render耗时: 647.574446555s
Render耗时: 49.649287395s
Render耗时: 53.826155102s
Render耗时: 50.53421209s
Render耗时: 49.823755309s
Render耗时: 9.264948668s
Checkered Render耗时: 4.751418308s
Render耗时: 10.019892001s
Render耗时: 9.303832986s
Render耗时: 8.688279325s
Earth Render耗时: 1.42438454s
Earth Render耗时: 1.614396031s
Earth Render耗时: 1.447626157s
Earth Render耗时: 1.465575322s
Perlin Render耗时: 2.942342601s
Perlin Render耗时: 798.431294ms
Perlin Render耗时: 793.41289ms
Perlin Render耗时: 2.937853756s
Perlin Render耗时: 3.181040616s
Perlin Render耗时: 3.088415554s
Perlin Render耗时: 3.119916637s
Perlin Render耗时: 2.780820957s
Perlin Render耗时: 3.167828183s
Perlin Render耗时: 3.114417799s
Perlin Render耗时: 3.049764113s
Perlin Render耗时: 3.25167298s
Perlin Render耗时: 3.49415022s
Perlin Render耗时: 2.991943552s
Earth Render耗时: 1.508582864s
Render耗时: 9.095291465s
Checkered Render耗时: 5.143311105s
Checkered Render耗时: 7.136514373s
Perlin Render耗时: 2.992505695s
Perlin Render耗时: 3.120693839s
Perlin Render耗时: 3.050326458s
Perlin Render耗时: 3.813605236s
Perlin Render耗时: 3.721420014s
Perlin Render耗时: 4.07264946s
Perlin Render耗时: 3.22612104s
Perlin Render耗时: 3.937454274s
Perlin Render耗时: 3.949072274s
Perlin Render耗时: 3.546626798s
Perlin Render耗时: 3.837474915s
Perlin Render耗时: 3.136304603s
Perlin Render耗时: 3.671700225s
Perlin Render耗时: 3.032564558s
Perlin Render耗时: 3.501622666s
Perlin Render耗时: 4.011373455s
Perlin Render耗时: 3.478948871s
Perlin Render耗时: 4.051013041s
Perlin Render耗时: 8.381906163s
Perlin Render耗时: 8.141261166s
Perlin Render耗时: 7.920519584s
Perlin Render耗时: 8.144412056s
